phone,State,Factoryp,supplierp,Type of cement,Type of factory,Amount,Total price,,Time,code,date
3030453,Transaction Number,factory,,opc,DANGOTE,121,14520,,21:27:15,D9TRNQZN7T,
3030453,Transaction Number,factory,,ppc,MUGHER,111,111000,,21:35:39,FQIYNZMEJJ,11/9/2023
3030453,Type of factory,factory,,ppc,NATIONAL,,,,,,
10334453,Transaction Number,factory,,ppc,MUGHER,122,122000,,23:10:15,HYGBN8XADO,11/9/2023
10334453,Transaction Number,supplier,BISHOFTU,opc,NATIONAL,910,163800,,23:11:33,LWYIDTBUVU,11/9/2023
10334453,Type of factory,factory,,ppc,MUGHER,,,,,,
1334453,Transaction Number,factory,,ppc,MUGHER,900,900000,,0:06:18,VTXUMLCWGU,12/9/2023
1334453,Transaction Number,factory,,ppc,MUGHER,121,121000,,,NDJQZ3EO5P,
1334453,Type of factory,factory,,ppc,MUGHER,,,,0:06:19,,12/9/2023
14453,Transaction Number,supplier,ADDIS ABABA,opc,MUGHER,980,98000,,0:30:01,XEY8HIFMYL,12/9/2023
14453,Transaction Number,factory,,ppc,MUGHER,122,122000,,,OBZOE5GSZC,
14453,Type of factory,factory,,ppc,MUGHER,,,,0:28:01,,12/9/2023
144s53,Transaction Number,factory,,opc,MUGHER,950,95000,,0:47:20,N3I1QMJAJ8,12/9/2023
144s53,Type of factory,factory,,opc,MUGHER,,,,0:47:20,,12/9/2023
144s543,Transaction Number,supplier,BISHOFTU,opc,DANGOTE,121,15730,,1:30:22,JPHR82JUDA,12/9/2023
144s543,Transaction Number,factory,,ppc,MUGHER,212,212000,,,ILORJSUIK1,
144s543,Transaction Number,factory,,opc,MUGHER,101,10100,,,S07VY0L0DO,
144s543,Transaction Number,factory,,ppc,MUGHER,122,122000,,,NSA8E8PWPQ,
144s543,Transaction Number,supplier,MAKUALE,opc,DANGOTE,121,14520,,,82BNTZT8BX,
144s543,Transaction Number,supplier,ADDIS ABABA,opc,DIRE,122,91500,,,UZ0AWFRNGP,
144s543,Transaction Number,supplier,MAKUALE,ppc,MUGHER,111,21090,,,YMMDIJMPOD,
144s543,Transaction Number,supplier,ADDIS ABABA,opc,MUGHER,111,11100,,1:06:41,4WOQWXUWLQ,12/9/2023
144s543,Type of factory,supplier,BISHOFTU,ppc,MUGHER,,,,1:30:21,,12/9/2023
14s543,Transaction Number,factory,,ppc,MUGHER,999,999000,,1:32:21,YROLIADYFT,12/9/2023
14s543,Amount,factory,,ppc,MUGHER,999,999000,,,,
s543,Transaction Number,factory,,opc,DANGOTE,999,119880,,16:21:44,5TM5LVPF3E,12/9/2023
s543,Transaction Number,factory,,ppc,MUGHER,,,,2:11:49,,12/9/2023
s543,Transaction Number,factory,,,,,,,,,
s543,Transaction Number,supplier,,,,,,,,,
s543,Transaction Number,factory,,,,,,,,,
s543,Transaction Number,supplier,BISHOFTU,ppc,,,,,,,
s543,Transaction Number,factory,,,,,,,,,
s543,Transaction Number,factory,,,,,,,,,
s543,Transaction Number,factory,,ppc,MUGHER,,,,2:26:33,,12/9/2023
s543,Type of factory,factory,,ppc,MUGHER,,,,16:21:43,,12/9/2023
103453,Transaction Number,factory,,ppc,MUGHER,122,122000,,20:25:56,9NK46FPOM8,12-9-2023
103453,Transaction Number,factory,,ppc,MUGHER,221,221000,,16:38:06,,12/9/2023
103453,Transaction Number,factory,,ppc,MUGHER,111,111000,,,,
103453,Type of factory,factory,,ppc,MUGHER,,,,17:34:25,,12/9/2023
203053,Transaction Number,factory,,ppc,MUGHER,112,112000,,17:55:52,RDKG5QUYGG,12/9/2023
203053,Transaction Number,factory,,ppc,MUGHER,111,111000,,17:48:43,JEH18S2LFZ,12/9/2023
203053,Transaction Number,factory,,ppc,MUGHER,111,111000,,,XXZK9FSORU,
203053,Transaction Number,factory,,ppc,MUGHER,111,111000,,17:50:50,7OGNOMKBI9,12/9/2023
203053,Transaction Number,factory,,ppc,MUGHER,122,122000,,,L5CI6ZIRD6,
203053,Transaction Number,factory,,ppc,MUGHER,111,111000,,,B4EZ7IAGTY,
203053,Type of factory,factory,,ppc,MUGHER,,,,17:56:18,,12/9/2023
3053,Transaction Number,factory,,ppc,MUGHER,111,111000,,18:19:31,UNSRXGFAX5,12/9/2023
3053,Transaction Number,factory,,ppc,MUGHER,111,111000,,,W9ONIHT7VQ,
103453,Transaction Number,factory,,ppc,MUGHER,200,200000,,,XXT5B6C5TC,
103453,Transaction Number2,,,,,,,,,,
